Scenario,Input_Tokens,Output_Tokens,TTFT(ms),TPOT(ms),E2E(ms),Prefill_Throughput(tokens/s),Decode_Throughput(tokens/s),Prefill_Inter_Node_Comm(ms),Decode_Inter_Node_Comm(ms)
短序列,128,128,3.0258715896054245,0.6173518848690892,82.04691285284885,84603.7224049493,3239.643465936942,0.16124999999999998,0.006220703125
中等序列,512,512,11.940351099617079,0.638227082059594,338.7126171141292,85759.62226377407,3133.680873500212,0.63,0.006220703125
长序列,1024,1024,23.919856361112085,0.6660606783136004,705.9659909542389,85619.24323799678,3002.7294285917037,1.2550000000000001,0.006220703125
长输入短输出,2048,512,48.18132936973591,0.6799774764406037,396.329797307325,85012.1832166137,2941.2738940547847,2.505,0.006220703125
